"Ellen Simon","hou","AZ ",1,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"John Thrasher","hou","AZ ",2,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Herb Paine","hou","AZ ",3,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Ed Pastor","hou","AZ ",4,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Harry Mitchell","hou","AZ ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Raul Grijalva","hou","AZ ",7,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Gabrielle Giffords","hou","AZ ",8,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Michael Thompson","hou","CA ",1,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Doris Matsui","hou","CA ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Lynn Woolsey","hou","CA ",6,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"George Miller","hou","CA ",7,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Nancy Pelosi","hou","CA ",8,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Barbara Lee","hou","CA ",9,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Ellen Tauscher","hou","CA ",10,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Jerry McNerney","hou","CA ",11,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Tom Lantos","hou","CA ",12,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Fortney Stark","hou","CA ",13,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Anna Eshoo","hou","CA ",14,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Michael Honda","hou","CA ",15,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Zoe Lofgren","hou","CA ",16,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Sam Farr","hou","CA ",17,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Lois Capps","hou","CA ",23,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Robert Rodriguez","hou","CA ",25,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Brad Sherman","hou","CA ",27,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Adam Schiff","hou","CA ",29,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Henry Waxman","hou","CA ",30,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Xavier Becerra","hou","CA ",31,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Hilda Solis","hou","CA ",32,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Diane Watson","hou","CA ",33,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Lucille Roybal-Allard","hou","CA ",34,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Maxine Waters","hou","CA ",35,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Jane Harman","hou","CA ",36,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Juanita Millender-McDonald","hou","CA ",37,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Grace Napolitano","hou","CA ",38,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Linda Sanchez","hou","CA ",39,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Loretta Sanchez","hou","CA ",47,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Francine Busby","hou","CA ",50,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Bob Filner","hou","CA ",51,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Diana DeGette","hou","CO ",1,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Mark Udall","hou","CO ",2,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Angie Paccione","hou","CO ",4,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Jay Fawcett","hou","CO ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Ed Perlmutter","hou","CO ",7,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"John Larson","hou","CT ",1,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Joe Courtney","hou","CT ",2,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Rosa DeLauro","hou","CT ",3,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Christopher Shays","hou","CT ",4,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Nancy Johnson","hou","CT ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Chris Murphy","hou","CT ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Phyllis Busansky","hou","FL ",9,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Kathy Castor","hou","FL ",11,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Christine Jennings","hou","FL ",13,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Ron Klein","hou","FL ",22,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Hank Johnson","hou","GA ",4,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"John Lewis","hou","GA ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Jim Marshall","hou","GA ",8,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"John Barrow","hou","GA ",12,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"David Scott","hou","GA ",13,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Mazie Hirono","hou","HI ",2,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Bruce Braley","hou","IA ",1,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"James Leach","hou","IA ",2,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Bobby Rush","hou","IL ",1,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Luis Gutierrez","hou","IL ",4,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Rahm Emanuel","hou","IL ",5,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
"Tammy Duckworth","hou","IL ",6,"Sierra Club","http://www.sierraclub.org/endorsements/2006/",2006
