"http://www.votesmart.org/issue_rating_detail.php?r_id=3081&rtype=R",,,,,,
"MA","U.S. House",3,"James McGovern",,"Democratic",93
"MA","U.S. House",4,"Barney Frank",,"Democratic",100
"MA","U.S. House",6,"John Tierney",,"Democratic",100
"MA","U.S. House",7,"Edward Markey",,"Democratic",100
"MA","U.S. House",8,"Michael Capuano",,"Democratic",100
"MA","U.S. House",9,"Stephen Lynch",,"Democratic",100
"MD","U.S. Senate","Sr","Barbara Mikulski",,"Democratic",91
"MD","U.S. Senate","Jr","Benjamin Cardin",,"Democratic",100
"MD","U.S. House",1,"Wayne Gilchrest",,"Republican",47
"MD","U.S. House",2,"C.A. Dutch Ruppersberger",,"Democratic",93
"MD","U.S. House",6,"Roscoe Bartlett",,"Republican",33
"MD","U.S. House",7,"Elijah Cummings",,"Democratic",100
"MD","U.S. House",8,"Christopher Van Hollen",,"Democratic",100
"ME","U.S. Senate","Sr","Olympia Snowe",,"Republican",55
"ME","U.S. Senate","Jr","Susan Collins",,"Republican",55
"ME","U.S. House",1,"Thomas Allen",,"Democratic",93
"ME","U.S. House",2,"Michael Michaud",,"Democratic",80
"MI","U.S. Senate","Sr","Carl Levin",,"Democratic",82
"MI","U.S. Senate","Jr","Debbie Stabenow",,"Democratic",91
"MI","U.S. House",3,"Vernon Ehlers",,"Republican",60
"MI","U.S. House",4,"David Camp",,"Republican",0
"MI","U.S. House",5,"Dale Kildee",,"Democratic",93
"MI","U.S. House",6,"Frederick Stephen Upton",,"Republican",27
"MI","U.S. House",8,"Mike Rogers",,"Republican",0
"MI","U.S. House",9,"Joseph Knollenberg",,"Republican",0
"MI","U.S. House",10,"Candice Miller",,"Republican",0
"MI","U.S. House",13,"Carolyn Kilpatrick",,"Democratic",93
"MI","U.S. House",15,"John Dingell",,"Democratic",93
"MN","U.S. Senate","Sr","Norm Coleman",,"Republican",18
"MN","U.S. House",2,"John Kline",,"Republican",7
"MN","U.S. House",3,"James Ramstad",,"Republican",60
"MN","U.S. House",7,"Collin Peterson",,"Democratic/Farmer/Labor",20
"MN","U.S. House",8,"James Oberstar",,"Democratic/Farmer/Labor",60
"MO","U.S. House",4,"Ike Skelton",,"Democratic",53
"MO","U.S. House",6,"Samuel Graves",,"Republican",7
"MO","U.S. House",7,"Roy Blunt",,"Republican",7
"MO","U.S. House",8,"Jo Ann Emerson",,"Republican",7
"MO","U.S. House",9,"Kenny Hulshof",,"Republican",7
"MS","U.S. Senate","Sr","Thad Cochran",,"Republican",0
