"John Kerry","pre",,,"League of Conservation Voters","http://www.lcv.org/newsroom/press-releases/lcv-endorses-senator-john-kerry-for-president.html",2004
"Barack Obama ","pre",,,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008
"John McCain","pre",,,"Republicans for Environmental Protection","http://www.rep.org/endorsements.html",2008
"John Kerry","pre",,,"Sierra Club","http://www.sierraclub.org/endorsements/2004/",2004
"Barack Obama","pre",,,"Sierra Club","http://www.sierraclub.org/politics/endorsements/",2008
